"fips","admin2","province_state","country_region","last_update","latitude","longitude","confirmed","deaths","recovered","active","combined_key","partition_0"
,"","Anhui","China","2020-01-22T17:00:00","31.826","117.226","1",,,"","""Anhui","csv"
,"","Beijing","China","2020-01-22T17:00:00","40.182","116.414","14",,,"","""Beijing","csv"
,"","Chongqing","China","2020-01-22T17:00:00","30.057","107.874","6",,,"","""Chongqing","csv"
,"","Fujian","China","2020-01-22T17:00:00","26.079","117.987","1",,,"","""Fujian","csv"
,"","Gansu","China","2020-01-22T17:00:00","36.061","103.834",,,,"","""Gansu","csv"
,"","Guangdong","China","2020-01-22T17:00:00","23.342","113.424","26",,,"","""Guangdong","csv"
,"","Guangxi","China","2020-01-22T17:00:00","23.83","108.788","2",,,"","""Guangxi","csv"
,"","Guizhou","China","2020-01-22T17:00:00","26.815","106.875","1",,,"","""Guizhou","csv"
,"","Hai","China","2020-01-22T17:00:00","19.196","109.745","4",,,"","""Hai","csv"
,"","Hebei","China","2020-01-22T17:00:00","38.043","114.515","1",,,"","""Hebei","csv"
